contract,dependents,internet_service,monthly_charges,online_security,tech_support,tenure_months,total_charges,multiple_lines,online_backup,paperless_billing,partner,churn_value
2,1,1,0.354228855721393,1,2,0.0140845070422535,0.0103104084929609,1,1,1,1,1
2,0,2,0.8502487562189055,2,2,0.676056338028169,0.578986845141934,2,1,1,1,1
2,1,1,0.3676616915422885,2,1,0.1267605633802817,0.0587987537502884,1,2,0,0,1
2,1,1,0.2129353233830845,2,2,0.0,0.0024059543041772,0,2,1,1,1
2,1,0,0.0189054726368158,0,0,0.0,0.0001557812139395,1,0,0,1,1
2,0,2,0.8069651741293532,2,2,0.647887323943662,0.545851603969536,2,1,1,0,1
2,1,1,0.1189054726368158,2,2,0.0,0.0013154858066005,0,1,0,0,1
2,1,1,0.4621890547263682,2,2,0.2253521126760563,0.1239672282483267,1,2,1,1,1
2,0,2,0.5119402985074627,2,2,0.056338028169014,0.0343987999076852,1,2,1,1,1
2,0,2,0.8766169154228854,2,2,0.4647887323943662,0.4073909531502423,2,1,1,1,1
2,0,2,0.7920398009950248,2,2,0.1408450704225352,0.1253865681975536,2,2,1,1,1
2,0,2,0.6208955223880598,2,2,0.0140845070422535,0.0144645741980152,1,2,1,1,1
2,0,2,0.8044776119402984,1,2,0.1971830985915492,0.1624278790676206,1,1,1,1,1
2,0,2,0.6208955223880598,2,2,0.0985915492957746,0.0709093007154396,2,1,1,0,1
2,0,2,0.7681592039800995,2,2,0.2394366197183098,0.2000634664204938,2,2,1,1,1
2,0,2,0.7577114427860697,2,2,0.1126760563380281,0.0967516732056312,2,2,0,1,1
2,0,2,0.607960199004975,2,2,0.0,0.0069870759289176,1,2,1,1,1
2,0,2,0.5661691542288557,2,2,0.0845070422535211,0.0551696284329563,1,2,1,0,1
2,0,2,0.6039800995024875,1,2,0.1549295774647887,0.1048407569813062,2,2,1,1,1
2,1,0,0.0278606965174129,0,0,0.056338028169014,0.0109681513962612,1,0,0,1,1
2,0,2,0.7985074626865671,2,2,0.3380281690140845,0.2879875375028848,1,1,1,0,1
0,1,2,0.9129353233830844,2,1,0.943661971830986,0.8761885529656128,2,1,1,0,1
2,0,2,0.7810945273631841,1,2,0.7605633802816901,0.6023655665820448,2,1,1,0,1
2,0,2,0.5796019900497512,2,2,0.5070422535211268,0.3287964458804523,2,2,1,0,1
2,0,2,0.8159203980099502,1,2,0.1267605633802817,0.1206842834064158,2,2,1,0,1
2,0,2,0.5587064676616916,2,2,0.028169014084507,0.0243191783983383,2,2,1,1,1
2,0,2,0.5950248756218905,2,2,0.3661971830985915,0.2442534041080083,2,2,1,1,1
2,1,1,0.4014925373134328,1,2,0.3380281690140845,0.1712266328179091,0,1,1,0,1
2,1,1,0.1711442786069651,2,2,0.0,0.0019213016385875,0,2,1,1,1
2,1,1,0.2597014925373134,2,2,0.0140845070422535,0.007206323563351,1,2,0,1,1
2,0,2,0.5194029850746269,2,2,0.0,0.0059600738518347,1,2,1,0,1
2,1,1,0.5263681592039802,1,1,0.0985915492957746,0.0628721440110777,2,2,0,1,1
2,1,1,0.2726368159203979,2,2,0.0,0.0030983152550196,1,2,1,1,1
2,0,2,0.763681592039801,2,2,0.0845070422535211,0.0734710362335564,2,2,0,1,1
2,0,2,0.6383084577114428,1,2,0.2676056338028169,0.1815774290330025,2,2,0,0,1
2,0,2,0.5238805970149254,2,2,0.0422535211267605,0.0293330256173551,1,2,1,1,1
2,1,1,0.2691542288557213,2,2,0.8028169014084507,0.3037618278329101,0,1,1,0,1
2,0,2,0.8572139303482588,2,1,0.0140845070422535,0.0258481421647819,2,2,1,0,1
1,1,2,0.7621890547263681,2,2,0.7323943661971831,0.574821140087699,1,2,1,0,1
